xzqhdm,xzqhmc,pc,mc,lx,sd,dz,lon,lat
150000,内蒙古自治区,第六批,张应瑞家族墓地,古墓葬,元,内蒙古自治区翁牛特旗,119.241573118126,42.965759020902
150000,内蒙古自治区,第六批,真寂之寺石窟,石窟寺及石刻,辽,内蒙古自治区巴林左旗,119.360246463071,43.8460444128121
150000,内蒙古自治区,第六批,查干浩特城址,古遗址,辽至明,内蒙古自治区阿鲁科尔沁旗,120.040246357039,44.1880924539446
150000,内蒙古自治区,第六批,宝善寺,古建筑,清,内蒙古自治区阿鲁科尔沁旗,120.071708332945,43.6067526758
150000,内蒙古自治区,第六批,赵宝沟遗址,古遗址,新石器时代,内蒙古自治区敖汉旗,120.140687725026,42.3312161568834
150000,内蒙古自治区,第六批,萧氏家族墓,古墓葬,辽,内蒙古自治区奈曼旗,120.928907980285,42.9641665309399
310000,上海市,第六批,龙华塔,古建筑,宋,上海市徐汇区,121.447408709877,31.1756156427769
310000,上海市,第六批,马勒住宅,近现代重要史迹及代表性建筑,民国,上海市静安区,121.451626647026,31.2247733110584
310000,上海市,第六批,国际饭店,近现代重要史迹及代表性建筑,民国,上海市黄浦区,121.467039640264,31.2356153715646
150000,内蒙古自治区,第六批,库伦三大寺,古建筑,清,内蒙古自治区库伦旗,121.561229927081,42.8016077326749
150000,内蒙古自治区,第六批,成吉思汗庙,近现代重要史迹及代表性建筑,民国,内蒙古自治区乌兰浩特市,122.051479015734,46.0899190278434
150000,内蒙古自治区,第六批,内蒙古自治政府成立大会会址,近现代重要史迹及代表性建筑,1947年,内蒙古自治区乌兰浩特市,122.068767892645,46.1090011566314
150000,内蒙古自治区,第六批,僧格林沁王府,古建筑,清,内蒙古自治区科尔沁左翼后旗,122.337541525093,42.9825140834434
150000,内蒙古自治区,第六批,吐尔基山墓,古墓葬,辽,内蒙古自治区科尔沁左翼后旗,122.685245263217,43.1880671040495
220000,吉林省,第六批,江头村和长岗岭村古建筑群,古建筑,明至民国,广西壮族自治区灵川县,126.279414960525,43.4779781005769
650000,新疆维吾尔自治区,第六批,麻赫穆德喀什噶里墓,古墓葬,元,新疆维吾尔自治区疏附县,75.5204459475806,39.3117551052705
650000,新疆维吾尔自治区,第六批,艾比甫艾洁木麻扎,古墓葬,清,新疆维吾尔自治区阿图什市,76.8579091496166,40.1252654087312
650000,新疆维吾尔自治区,第六批,叶尔羌汗国王陵,古墓葬,明,新疆维吾尔自治区莎车县,77.2549433869388,38.4155639230527
650000,新疆维吾尔自治区,第六批,麻扎塔格戍堡址,古遗址,唐,新疆维吾尔自治区墨玉县,80.7879642550788,38.5127942247717
650000,新疆维吾尔自治区,第六批,阿日夏特石人墓,古墓葬,隋至唐,新疆维吾尔自治区温泉县,80.9431028377106,44.9623660269791
650000,新疆维吾尔自治区,第六批,靖远寺,古建筑,明,新疆维吾尔自治区察布查尔锡伯自治县,81.0682418723073,43.8345122841351
650000,新疆维吾尔自治区,第六批,丹丹乌里克遗址,古遗址,南北朝至唐,新疆维吾尔自治区策勒县,81.0887735007357,37.0782760275524
650000,新疆维吾尔自治区,第六批,三区革命政府政治文化活动中心旧址,近现代重要史迹及代表性建筑,民国,新疆维吾尔自治区伊宁市,81.3211108548807,43.9156380147057
650000,新疆维吾尔自治区,第六批,速檀歪思汗麻扎,古墓葬,明,新疆维吾尔自治区伊宁县,81.7473827795444,44.0010098330811
650000,新疆维吾尔自治区,第六批,通古斯巴西城址,古遗址,唐,新疆维吾尔自治区新和县,82.372065549028,41.2602782883955
650000,新疆维吾尔自治区,第六批,塔城红楼,近现代重要史迹及代表性建筑,清至民国,新疆维吾尔自治区塔城市,82.9810850143092,46.7469094487432
540000,西藏自治区,第六批,查木钦墓群,古墓葬,唐,西藏自治区拉孜县,87.8496660884652,29.177023115913
540000,西藏自治区,第六批,平措林寺,古建筑,明,西藏自治区拉孜县,88.0027970591782,29.3689837995836
650000,新疆维吾尔自治区,第六批,坎尔井地下水利工程,近现代重要史迹及代表性建筑,清,新疆维吾尔自治区吐鲁番市,89.1445024232159,42.949802090822
650000,新疆维吾尔自治区,第六批,洋海墓群,古墓葬,青铜时代至唐,新疆维吾尔自治区鄯善县,89.6705123390444,42.8000199530493
650000,新疆维吾尔自治区,第六批,吐峪沟石窟,石窟寺及石刻,南北朝至唐,新疆维吾尔自治区鄯善县,89.6843525396863,42.8324400048259
650000,新疆维吾尔自治区,第六批,楼兰墓群,古墓葬,新石器时代至晋,新疆维吾尔自治区若羌县,89.706475552023,40.5297953243456
540000,西藏自治区,第六批,聂塘卓玛拉康,古建筑,宋,西藏自治区曲水县,90.9467085185646,29.5325707852592
540000,西藏自治区,第六批,敏竹林寺,古建筑,明,西藏自治区扎囊县,91.4001590240353,29.2772825541494
540000,西藏自治区,第六批,松卡石塔,古建筑,唐,西藏自治区扎囊县,91.4329463507646,29.3054525976193
540000,西藏自治区,第六批,康松桑卡林,古建筑,清,西藏自治区扎囊县,91.506402597745,29.3200666304247
650000,新疆维吾尔自治区,第六批,哈密回王墓,古墓葬,清至民国,新疆维吾尔自治区哈密市,93.4867562771154,42.8107796244725
650000,新疆维吾尔自治区,第六批,五堡墓群,古墓葬,青铜时代,新疆维吾尔自治区哈密市,93.5212592208585,42.3372298348998
540000,西藏自治区,第六批,邦纳寺,古建筑,明,西藏自治区索县,94.3049901700433,31.5888502293949
540000,西藏自治区,第六批,查杰玛大殿,古建筑,元至清,西藏自治区昌都地区,96.5032526849804,31.3714260979814
530000,云南省,第四批,大宝积宫与琉璃殿,古建筑,明,云南省丽江纳西族自治县,100.235598589117,26.8723633066331
